	Event_Type	Count	Sample_sentence	Trigger	Start	End
37	Movement:Transport	713	And besides, as soon as you get control of it you'd be able to start using it for air operations, and put a survey team in there as soon as it's secured, and then start using it for helicopter operations, haul forward some big bladders of fuel to refuel helicopters and rearm them and things like that.	put	24	25
38	Movement:Transport	713	Now, as you go from Saddam International Airport into town you see there are some big, wide divided highways there.	go	4	5
39	Movement:Transport	713	A man who has been to Baghdad many times and can tell us with great knowledge exactly what it's going to be like to fight on those avenues in that sprawling city of Baghdad - Judy.	been	4	5
40	Movement:Transport	713	As coalition forces push ahead in their march toward Baghdad, they have encountered some resistance in the Shiite holy city of Karbala.	march	7	8
41	Movement:Transport	713	We will approach Baghdad.	approach	2	3
42	Movement:Transport	713	There is much fear here of the Saddam loyalists who still hold sway in Basra and of the invading troops waiting at the gates.	invading	18	19
43	Movement:Transport	713	(on camera): The Americans are racing towards Baghdad, the British still seem anxious to make their progress here as measured as possible.	racing	8	9
44	Movement:Transport	713	Iraqi soldiers fled these positions in a hurry, under the onslaught of coalition bombing.	fled	2	3
45	Movement:Transport	713	With U.S. forces rolling closer and closer to Baghdad, the military seems to be zeroing in on the ground war.	rolling	3	4
46	Movement:Transport	713	According to the Air Force, at any given time, there are more 200 coalition aircraft either over Iraq, flying to Iraq or flying from Iraq.	flying	21	22
47	Movement:Transport	713	According to the Air Force, at any given time, there are more 200 coalition aircraft either over Iraq, flying to Iraq or flying from Iraq.	flying	25	26
48	Movement:Transport	713	We can tell you that a lot of pilots of this base are not flying to another base in Iraq.	flying	14	15
49	Movement:Transport	713	And when you arrive there, you are greeted in a sense by Saddam Hussein.	arrive	3	4
50	Movement:Transport	713	What's happen is the military personnel who have arrived here have taken out their markers and are writing messages on Saddam Hussein's portrait.	arrived	9	10
51	Movement:Transport	713	We want to tell you the Air Force has just informed us that between this morning and tomorrow morning, it will fly 1,900 sorties into Iraq.	fly	22	23
52	Movement:Transport	713	What they are doing, Judy, some of these A-10s behind me go there to refuel, to stage operations further north.	go	13	14
53	Movement:Transport	713	With the power out now in Baghdad, we're getting word that loudspeakers have been blaring in the Iraqi capital, urging citizens to go to the international airport there, presumably to defend it against coalition forces.	go	25	26
54	Movement:Transport	713	Now that armored columns of U.S.-led troops have reached the outskirts of Baghdad, eyewitnesses report fighting and shelling around Saddam Hussein International Airport.	reached	8	9
55	Movement:Transport	713	In the final push to Baghdad, U.S. forces face limited resistance from Iraqi troops.	push	3	4
56	Movement:Transport	713	But the Pentagon believes some Iraqi Republican Guard units have withdrawn to the capital for what could be their last stand.	withdrawn	10	11
57	Movement:Transport	713	Farther south in Basra, smoke rose over the city as coalition vehicles moved in today.	moved in	13	15
58	Movement:Transport	713	Coalition forces launched their latest advances toward Baghdad in the pre-dawn hours today, heading toward the Iraqi capital from the southeast and the southwest.	advances	5	6
59	Movement:Transport	713	Baghdad is now within striking distance as troops make their final thrust through the desert.	thrust	11	12
60	Movement:Transport	713	And the way seems to be open for coalition forces to close in on the city's southern limits.	close in	11	13
61	Movement:Transport	713	At daybreak, U.S. troops pushed through the outskirts of Karbala on the road to Baghdad, capturing a key bridge on the Euphrates River.	pushed	5	6
62	Movement:Transport	713	Others are down to 50 percent, but there's still one or two divisions around 75, 80, 90 percent of their fighting strength, and they could still put up very stiff resistance, indeed, when the American forces get en masse to Baghdad itself.	get	43	44
63	Movement:Transport	713	Armed coalition soldiers moving toward a venerated mosque at the behest of a Muslim cleric.	moving	3	4
64	Movement:Transport	713	Armed coalition soldiers moving toward a venerated mosque at the request of a Muslim cleric, but angry locals who didn't understand what they were trying to do.	moving toward	3	5
65	Movement:Transport	713	(voice-over): Chaos as the crowd apparently believes the soldiers want to approach the shrine.	approach	14	15
66	Movement:Transport	713	They want to get inside the holy shrine of Imam Ali.	get inside	3	5
67	Movement:Transport	713	He orders his men back to their compound to await cooler heads.	back	4	5
68	Movement:Transport	713	Well, when they do finally enter Baghdad, U.S. and coalition troops could face urban combat with the Republican Guard, some of whom may have withdrawn into the city.	enter	6	7
69	Movement:Transport	713	Well, when they do finally enter Baghdad, U.S. and coalition troops could face urban combat with the Republican Guard, some of whom may have withdrawn into the city.	withdrawn into	27	29
70	Movement:Transport	713	It's the side that's moving that's going to take the casualties.	moving	6	7
71	Movement:Transport	713	That said, the armored fighting vehicles that you see there they look to me as if they're moving a little bit faster as than we probably will.	moving	19	20
72	Movement:Transport	713	And then we'll probably surge fires into their both lethal and nonlethal to make his position untenable, to make him move rather than us moving through the assault zone.	move	22	23
73	Movement:Transport	713	And then we'll probably surge fires into their both lethal and nonlethal to make his position untenable, to make him move rather than us moving through the assault zone.	moving	26	27
74	Movement:Transport	713	Up next, a report on the president's trip to Camp Lejeune, and a look at how the Camp Lejeune community is coping with the challenges of war.	trip	9	10
75	Movement:Transport	713	ITN reporter James Mates was with the U.S. forces when they moved in to secure the airport.	moved in	11	13
76	Movement:Transport	713	It lies just 12 miles from Baghdad and will be a key forward base for U.S. troops as they prepare for a push on the capital.	push	22	23
77	Movement:Transport	713	But the final push into the city could yet prove to be the toughest fighting of all.	push	3	4
78	Movement:Transport	713	The answer to that could well decide how quickly they make a final push into the city.	push	13	14
79	Movement:Transport	713	A few miles further to Mosul, Kurdish militia and their flags speeding to a town abandoned by Iraqi forces.	speeding	12	13
80	Movement:Transport	713	A few miles further to Mosul, Kurdish militia and their flags speeding to a town abandoned by Iraqi forces.	abandoned	16	17
81	Movement:Transport	713	After a day of fighting, the Iraqis were driven back five kilometers, about three miles down the main road west towards Mosul from the Kurdish city of Erbil.	driven back	9	11
82	Movement:Transport	713	Are you coming here?	coming	2	3
83	Movement:Transport	713	Well, as coalition forces push ahead in their bid to capture Baghdad, big questions remain about Saddam Hussein and his whereabouts.	"push
ahead"	5	7
84	Movement:Transport	713	CNN senior international correspondent Nic Robertson, who was expelled from Baghdad, is with us now from the border of Iraq and Jordan, on the Jordanian side, to talk about what's happening in the Iraqi capital.	expelled	9	10
85	Movement:Transport	713	He did promise to take journalists to the airport, however, he never made -- he didn't make good on that promise throughout the day.	take	4	5
86	Movement:Transport	713	Now, representatives of the committee -- the International Committee for the Red Cross, who have been to some of the hospitals in Baghdad, report higher-than-usual numbers of casualties coming into those hospitals.	coming into	31	33
87	Movement:Transport	713	Now, representatives of the committee -- the International Committee for the Red Cross, who have been to some of the hospitals in Baghdad, report higher-than-usual numbers of casualties coming into those hospitals.	have been to	16	19
88	Movement:Transport	713	We had a chance in the morning to go to the main hospital, which is called Yarmuk (ph), and we found there has been a steady flow in of hundreds of casualties, all over the night and through into the day, casualties -- I mean, war wounded had to be sent over, dispatched to other hospitals, because this Yarmuk was just totally overwhelmed by the sheer number of people coming in.	go	8	9
89	Movement:Transport	713	We had a chance in the morning to go to the main hospital, which is called Yarmuk (ph), and we found there has been a steady flow in of hundreds of casualties, all over the night and through into the day, casualties -- I mean, war wounded had to be sent over, dispatched to other hospitals, because this Yarmuk was just totally overwhelmed by the sheer number of people coming in.	coming in	78	80
90	Movement:Transport	713	We had a chance in the morning to go to the main hospital, which is called Yarmuk (ph), and we found there has been a steady flow in of hundreds of casualties, all over the night and through into the day, casualties -- I mean, war wounded had to be sent over, dispatched to other hospitals, because this Yarmuk was just totally overwhelmed by the sheer number of people coming in.	sent over	57	59
91	Movement:Transport	713	And Iraqi officials promise to take journalists to this particular hospital, the Yarmuk Hospital, that is now located, it's on the southwest of Baghdad, and it appears to be pretty much between the position of where coalition forces have been seen and where Iraq now has a militarized front-line position.	take	5	6
92	Movement:Transport	713	Now, when journalists were taken to see that hospital, twice they were turned around and told that they weren't actually allowed to go inside that hospital, Judy.	were taken	4	6
93	Movement:Transport	713	Now, when journalists were taken to see that hospital, twice they were turned around and told that they weren't actually allowed to go inside that hospital, Judy.	go inside	25	27
94	Movement:Transport	713	It is a garden -- it is a large garden-type area for people to take their children to go and play.	take	14	15
95	Movement:Transport	713	Well, as American forces do push ahead toward the Iraqi government's key center of power, British forces are keeping up their work to the south of the Iraqi capital.	push ahead	6	8
96	Movement:Transport	713	By the time they leave Iraq, they're determined Saddam and his Ba'ath Party will have bitten the dust.	leave	4	5
97	Movement:Transport	713	(on camera): They're well within striking distance of the mortars and rockets of the Fedayeen militia, but they're prepared to take that risk to try and persuade the people of Basra that they won't desert them, that they'll stick with this however messy it gets.	desert	41	42
98	Movement:Transport	713	Well, U.S. forces entering Baghdad do face the prospect of urban combat, a type of battle they have trained for, but, of course, they would prefer to avoid.	entering	4	5
99	Movement:Transport	713	Same thing when you come into a building.	come	4	5
100	Movement:Transport	713	It's -- yes, it's extremely dangerous, because once you enter these buildings, we found, actually, enemy, you know, guarding these sites.	enter	13	14
101	Movement:Transport	713	They've just come across one of the Marine convoys that they need to track, so they're watching every move that the Marines make as they move towards Baghdad, making sure they don't come across any type of threat.	move	28	29
102	Movement:Transport	713	We'll look at the routes ahead of where our guys are going to go and try to see what enemy is there.	go	14	15
103	Movement:Transport	713	And one more safe Marine is one more Marine that can continue on north to Baghdad.	continue on	11	13
104	Movement:Transport	713	Melony Marshall was married just a month before she left for Iraq.	left	9	10
105	Movement:Transport	713	I'm ready to come home.	come	4	5
106	Movement:Transport	713	When I get home, I don't want to see a camera.	get	2	3
107	Movement:Transport	713	"I just want to come home."""	come	4	5
108	Movement:Transport	713	"Perhaps I can do better when I get home."""	get	7	8
109	Movement:Transport	713	Different ranks, different anxieties, but all are hoping, by the time their letters get back to the U.S., they too will soon be heading home.	heading	27	28
110	Movement:Transport	713	And, as we listened to John King's report, we can tell you that President Bush has just -- his plane has just landed at Andrews Air Force Base, just close to the Washington area, the president having flown back to the United States from that meeting in Northern Ireland in Belfast with the British prime minister, Tony Blair.	landed	25	26
111	Movement:Transport	713	And, as we listened to John King's report, we can tell you that President Bush has just -- his plane has just landed at Andrews Air Force Base, just close to the Washington area, the president having flown back to the United States from that meeting in Northern Ireland in Belfast with the British prime minister, Tony Blair.	flown	42	43
112	Movement:Transport	713	So many people come here, but we don't know about them at all.	come	3	4
113	Movement:Transport	713	These ordinary Iraqis had been terrified to come here, until today, though one student on the left had been here before.	come	7	8
114	Movement:Transport	713	And they sent him to Baghdad and killed.	sent	2	3
115	Movement:Transport	713	Just now, we want to show you scenes from Andrews Air Force Base just moments ago, President Bush returning to the United States from his summit in Northern Ireland in Belfast with British Prime Minister Tony Blair, the president back on American soil after a quick two-day trip, less than two-day trip to Belfast, he and the prime minister discussing, of course, the war in Iraq, what happens after, as well as the peace process in the Middle East, and restarting the peace process in Northern Ireland.	trip	55	56
116	Movement:Transport	713	Just now, we want to show you scenes from Andrews Air Force Base just moments ago, President Bush returning to the United States from his summit in Northern Ireland in Belfast with British Prime Minister Tony Blair, the president back on American soil after a quick two-day trip, less than two-day trip to Belfast, he and the prime minister discussing, of course, the war in Iraq, what happens after, as well as the peace process in the Middle East, and restarting the peace process in Northern Ireland.	returning	20	21
117	Movement:Transport	713	The president then climbed aboard Marine One, the helicopter, heading back to the White House, where he will arrive pretty soon.	heading back	11	13
118	Movement:Transport	713	He was sent over right next to the Persian Gulf now since New Year's Eve.	sent	2	3
119	Movement:Transport	713	These thieves are trying to flee the German Embassy, having been shot at by a guard.	flee	5	6
120	Movement:Transport	713	And, particularly, I have in mind the Iraqi National Congress that Mr. Chalabi, who was assisted by U.S. forces in getting back into Iraq?	back	24	25
121	Movement:Transport	713	A reminder, Jessica Lynch coming back to the United States within the hour.	coming	5	6
122	Movement:Transport	713	Last night before leaving the United States, Aldouri said he hopes to see free elections in a free Iraq.	leaving	3	4
123	Movement:Transport	713	But now, it's the Iraqi ambassador's time to leave, the United States.	leave	11	12
124	Movement:Transport	713	Aldouri was in better spirits as he departed for the airport with a final message.	departed	7	8
125	Movement:Transport	713	Corpsmen quickly take patients by ambulance away from the blowing sand to a triage tent.	take	2	3
126	Movement:Transport	713	Over 45 minutes as we watched, 32 patients were delivered here, evaluated and nine operations started; 29 of those delivered, Marines involved in a firefight in the center of Baghdad.	delivered	10	11
127	Movement:Transport	713	Over 45 minutes as we watched, 32 patients were delivered here, evaluated and nine operations started; 29 of those delivered, Marines involved in a firefight in the center of Baghdad.	delivered	22	23
128	Movement:Transport	713	The people of Tikrit are saying Saddam's family left that city three days ago, well before the Americans arrived.	left	9	10
129	Movement:Transport	713	The people of Tikrit are saying Saddam's family left that city three days ago, well before the Americans arrived.	arrived	20	21
130	Movement:Transport	713	Saddam's clan is said to have left for a small village in the desert.	left	7	8
131	Movement:Transport	713	So some think Thurmond's travel plans in South Carolina next month are rather fitting.	travel	5	6
132	Movement:Transport	713	He'll fly to his first public appearance since returning to his home state aboard the private jet of a Hooters Air executive.	fly	2	3
133	Movement:Transport	713	Do you want the troops to be honored in that way when they come back, to have parades in New York, Washington, elsewhere?	come back	13	15
134	Movement:Transport	713	In the case of 1991, the task was to go in and get them out of Kuwait, and they did it, and they were properly greeted coming back to the United States.	coming back	29	31
135	Movement:Transport	713	after today's air strikes, 13 iraqi soldiers abandoned their posts and surrendered to kurdish fighters.	abandoned	9	10
136	Movement:Transport	713	u.s.-led forces are approaching iraq's capital after destroying the medina and baghdad divisions of the republican guard.	approaching	3	4
137	Movement:Transport	713	a member of the international committee of red cross visited the local hospital there, and he says it's a horrible scene.	visited	9	10
138	Movement:Transport	713	palestinian sources say he had tried to flee into syria, but was turned away at the border.	flee	7	8
139	Movement:Transport	713	they'll be arriving at ramstein air base in germany a few hours from now.	arriving	3	4
140	Movement:Transport	713	once doctors there say they are good to go, the seven will head stateside.	head	13	14
141	Movement:Transport	713	medical officers say they became a team while in captivity and want to stay together as a team until it's time to go to their separate homes.	go	23	24
142	Movement:Transport	713	a russian soyuz capsule dropped them off this morning after docking perfectly at the orbiting outpost.	dropped	4	5
143	Movement:Transport	713	"it was the first manned flight to the space station since the february first shuttle ""columbia"" disaster."	flight	5	6
144	Movement:Transport	713	the soyuz will carry that crew back to earth may 4th.	carry	3	4
145	Movement:Transport	713	they may have been timed to coincide with the arrival of secretary of state colin powell in riyadh.	arrival	9	10
146	Movement:Transport	713	the state department is ordering all non-essential diplomats and dependents out of the country.	out	10	11
147	Movement:Transport	713	an fbi team is heading to saudi arabia to help investigate the attacks.	heading	4	5
148	Movement:Transport	713	also one friend he was afraid was going to leave the country and spill the beans on him.	leave	9	10
149	Movement:Transport	713	a father in new york is accused of dropping his baby out of a seven- story apartment window, here's jordena ginsberg with more from affiliate news-12 westchester.	dropping	8	9
150	Movement:Transport	713	reporter: please measure the spot where she landed after she was thrown from a seventh floor window.	thrown	12	13
151	Movement:Transport	713	cops say he allegedly kidnapped her and threatened her but eventually brought her back to her home.	brought	11	12
152	Movement:Transport	713	cops say he allegedly kidnapped her and threatened her but eventually brought her back to her home.	kidnapped	4	5
153	Movement:Transport	713	while she was on the phone, he picked up the child again and this time threw her out the window.	threw	16	17
154	Movement:Transport	713	still bleeding, he ran downstairs and scooped up the baby, and took the baby to the hospital.	took	13	14
155	Movement:Transport	713	reporter: police measure the spot where ten months old miana williams landed after she was thrown from a seventh floor window at this apartment building.	landed	12	13
156	Movement:Transport	713	cops say he allegedly kidnapped her in his car and threatened her but eventually brought her back to her home.	brought	14	15
157	Movement:Transport	713	still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital.	took	12	13
158	Movement:Transport	713	still bleeding, he ran downstairs and scooped up the baby and took the baby to the hospital.	ran	4	5
159	Movement:Transport	713	a month later, u.s. and pakistani force hs a lead on osama bin laden, but by the time they moved in, he had vanished again.	moved	21	22
160	Movement:Transport	713	apparently, he was on his way to greet reporters at the time outside the main government office there in belgrade.	way	6	7
161	Movement:Transport	713	and i just hope and pray that congress will quickly pass the amber alert so that those children will have a better chance because they cross the state line and they're out of commission.	cross	25	26
162	Movement:Transport	713	there will be additional random inspections of vehicles and potentially, depending on the airport, some limitations of indegrees and egress into the airport.	indegrees	19	20
163	Movement:Transport	713	there will be additional random inspections of vehicles and potentially, depending on the airport, some limitations of indegrees and egress into the airport.	egress	21	22
164	Movement:Transport	713	this would be representing m1-a1 tanks coming towards the bridge firing.	coming	6	7
165	Movement:Transport	713	reporter: the findings are heightening concerns among coalition forces approaching baghdad since, as the iraqis should know, u.s. and british forces do not use chemical weapons.	approaching	10	11
166	Movement:Transport	713	u.s. officials say some intelligence indicates a red line may have been drawn around the capital with republican guard units ordered to use chemical weapons once u.s. and allied troops cross it.	cross	30	31
167	Movement:Transport	713	there has been intelligence scraps, who knows how accurate they are, chatter in the system, that suggests that the closer that coalition forces get to baghdad and tikrit the greater the likelihood and that some command and control arrangements have been put in place.	get	26	27
168	Movement:Transport	713	we're getting late word tonight that geraldo rivera may not be be kicked out of iraq after all.	kicked out	13	15
169	Movement:Transport	713	originally the central command said the veteran fox news correspond was being expelled because he compromised the location of the unit he's been embedded with.	expelled	12	13
170	Movement:Transport	713	says he's not aware he's being expelled but says if so, it is because some bitter former colleagues of his at msnbc blew the whistle on him.	expelled	8	9
171	Movement:Transport	713	"the central command on the other hand says rivera is being kicked out of iraq because ""he gave away the big picture stuff."""	kicked out	11	13
172	Movement:Transport	713	all of this now under review, whether or not geraldo stays or goes.	goes	13	14
173	Movement:Transport	713	an airport in key west, florida, today became the setting of what appeared to be a desperate attempt to enter the u.s. by a cuban national.	enter	21	22
174	Movement:Transport	713	the man was arrested there after authorities say he hijacked a cuban plane using what was reported to be grenades, ordering the pilots to fly to florida.	fly	25	26
175	Movement:Transport	713	jessica lynch arrived at the ramstein air base in germany for medical treatment.	arrived	2	3
176	Movement:Transport	713	a little later we'll speak with her family and talk a closer look at the daring operation that produced her safe recovery, but first the push into baghdad.	push	27	28
177	Movement:Transport	713	they say their forces today with the iraqi republican guard units as part of a protwo-pronged advance on the city.	advance	16	17
178	Movement:Transport	713	jessica lynch says she cannot wait to get home to west virginia.	get	8	9
179	Movement:Transport	713	coming up on our next hour, u.s. forces edged toward the outskirts of baghdad and we'll tell you what kind of resistance they're fating from saddam hussein's elite republican guard.	edged	9	10
180	Movement:Transport	713	that is the very joyous town of palestine, west virginia, on the news that jessica lynch is eventually going to come home.	come	22	23
181	Movement:Transport	713	u.s. forces moving in on the airports at saddam hussein international airport, 12 miles west of the city's center.	moving	2	3
182	Movement:Transport	713	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	move	39	40
183	Movement:Transport	713	in southern iraq today, british forces also moving closer to the center of the second largest city in iraq, basra.	moving	8	9
184	Movement:Transport	713	the pentagon tonight said coalition troops have reached baghdad international airport.	reached	7	8
185	Movement:Transport	713	armored forces destroyed dozens of iraqi tanks and personnel carriers in their advance on baghdad.	advance	12	13
186	Movement:Transport	713	the president of the united states coming for a brief two-day summit with the british prime minister tony blair.	coming	6	7
187	Movement:Transport	713	as we watched this picture of the air force one getting into this airport i want to bring in our military analyst general dan crisman to go over what happens happening in baghdad.	getting into	10	12
188	Movement:Transport	713	troops from the u.s. army's 101st airborne division went to the site on friday, finding a number of large drums buried in bunkers.	went	9	10
189	Movement:Transport	713	a live picture of the president united states landing at an air field in northern ireland.	landing	8	9
190	Movement:Transport	713	once he gets out of the helicopter he'll transfer to air force one to come home after a 20-hour visit with the prime minister of great britain.	come	15	16
191	Movement:Transport	713	u.s. marines entered southeastern baghdad today and found dozens of chemical suits masks and atropine injecters.	entered	2	3
192	Movement:Transport	713	he was going on a mission south of baghdad when he was close to his target area, all of a sudden he heard a noise.	going	2	3
193	Movement:Transport	713	ejected landed in the desert south of baghdad and then he was rescued by u.s. army ground troops who were in the area.	landed	1	2
194	Movement:Transport	713	the pilot, whose name has not been released, was brought back to this base.	brought back	11	13
195	Movement:Transport	713	she came back to this base near the border of iraq and it's being described as an heroic landing after she was struck by artillery missiles.	came	1	2
196	Movement:Transport	713	those pilots were captured on march 24th, after their apache helicopter went down in iraqi territory.	went down	12	14
197	Movement:Transport	713	"now they are learning more details that their son in fact was kicked and beaten after his capture, and that his fellow pilot david williams had a knife held to his throat immediately after an tur, according to an interview their son was allowed to conduct with ""the washington post"", who flew with him into kuwait."	flew	56	57
198	Movement:Transport	713	i came home, she was in bed, i laid on the couch for a couple of hours, walked around, i thought, i'm going to sleep tonight, i really am.	came	1	2
199	Movement:Transport	713	you might remember last week when another half-brother of saddam hussein was picked up trying to cross into syria and that time, we have been told syria has closed its border with iraq to prevent any of that ongoing.	cross	16	17
200	Movement:Transport	713	there is strong speculation that saddam hussein may be his two sons were inside of that building when it was hit by coalition bombs, or may have left prior to the bombing taking place.	left	28	29
201	Movement:Transport	713	they say they're looking forward to going home, which relatives of one former p.o.w.	going	7	8
202	Movement:Transport	713	the man came out and did the spread eagle like that, just as he did that, that's when you saw the child just walking just a few feet away from him but the officers were able to get the child away.	came	2	3
203	Movement:Transport	713	on april 9th, about 130 journalists from around the world including myself and a couple of reporters, we were going to try to cross the border because we were all desperate to get into iraq, two days after the saddam statue fell and we all knew it was over.	get into	34	36
204	Movement:Transport	713	on april 9th, about 130 journalists from around the world including myself and a couple of reporters, we were going to try to cross the border because we were all desperate to get into iraq, two days after the saddam statue fell and we all knew it was over.	cross	25	26
205	Movement:Transport	713	156 iraqi police officers were supposed to show up to this college to report for work.	show up	7	9
206	Movement:Transport	713	but instead, 2,000 showed up because they heard about it on the radio.	showed up	4	6
207	Movement:Transport	713	we came across a checkpoint and there were about maybe five, six iraqi locals with ak-47 machine guns and checking cars.	came across	1	3
208	Movement:Transport	713	so we went into this bunker hoping to find a prison and run into these prisoners and instead we ran into a room fulls of weapons from bullets to hand grenade, land mines, rocket-propelled grenades.	went	2	3
209	Movement:Transport	713	so we went into this bunker hoping to find a prison and run into these prisoners and instead we ran into a room fulls of weapons from bullets to hand grenade, land mines, rocket-propelled grenades.	run into	12	14
210	Movement:Transport	713	sars is spreading, major league baseball plans to warn its players heading to canada, particularly to toronto for the all-star break in july to take some precaugs.	heading	12	13
211	Movement:Transport	713	passengers were taken to the ship's dining rooms while bomb sniffing dogs went over the ship.	taken	2	3
212	Movement:Transport	713	"some u.s. troops have not had a chance to call home since they were deployed for duty in ""operation iraqi freedom."""	deployed	14	15
213	Movement:Transport	713	she has no idea where her husband is now, but thanks to a little help from a delta flight attendant, she knew he got where he was going.	got	25	26
214	Movement:Transport	713	the trip to georgia was just the first leg.	trip	1	2
215	Movement:Transport	713	he got on a flight to an undisclosed location, when jamie got a second phone call from a flight attendant.	flight	4	5
216	Movement:Transport	713	ari fleischer expected to come into the west wing briefing room to brief reporters on a wide variety of subjekts.	come	4	5
217	Movement:Transport	713	happily watching tom and jerry on his mini television, his transformation from the pain-racked boy who left baghdad.	left	17	18
