	Unnamed: 0	Event_Type	Count	Sample_sentence	Trigger	Start	End	sentence_translation	trigger_translation
17	17	Contact:Meet	44	新华社乌鲁木齐１０月８日电（记者孙彬）新疆维吾尔自治区党委 、政府、新疆军区和新疆生产建设兵团的领导今晚在“奥运健儿祖 国西部行”代表团住宿的宾馆会见了代表团成员，并同奥运健儿进 行了气氛热烈的座谈。	会见	13	14	Xinhua News Agency, Urumqi, October 8th (Reporter Sun Bin) The leaders of the Xinjiang Uygur Autonomous Region Party Committee, the government, the Xinjiang Military Region and the Xinjiang Production and Construction Corps met with delegation members tonight at the hotel where the delegation of the &quot;Olympic athletes traveled to the west of the country&quot; stayed. They also had a lively discussion with Olympic athletes.	meet
18	18	Contact:Meet	44	新华社乌鲁木齐１０月８日电（记者孙彬）新疆维吾尔自治区党委 、政府、新疆军区和新疆生产建设兵团的领导今晚在“奥运健儿祖 国西部行”代表团住宿的宾馆会见了代表团成员，并同奥运健儿进 行了气氛热烈的座谈。	座谈	16	17	Xinhua News Agency, Urumqi, October 8th (Reporter Sun Bin) The leaders of the Xinjiang Uygur Autonomous Region Party Committee, the government, the Xinjiang Military Region and the Xinjiang Production and Construction Corps met with delegation members tonight at the hotel where the delegation of the &quot;Olympic athletes traveled to the west of the country&quot; stayed. They also had a lively discussion with Olympic athletes.	Forum
19	19	Contact:Meet	44	据了解，代表团将在乌鲁木齐停留３天，９日上午在新疆师范大学 与新疆６所高校师生交流，下午在新疆人民会堂举行报告会和体育 表演。	交流	5	6	It is understood that the delegation will stay in Urumqi for three days. On the morning of the 9th, the delegation will communicate with teachers and students of 6 colleges and universities in Xinjiang. In the afternoon, a lecture and sports performance will be held in the Xinjiang People&#39;s Hall.	communicate with
20	20	Contact:Meet	44	新华社北京１０月１２日电（记者谭国器）全国人大常委会委员长 李鹏今天在人民大会堂会见了由国际狮子会会长让·贝亚尔率领的 国际狮子会代表团及来京参加“世界视觉日”活动的９个国家和地 区的眼科专家。	会见	5	6	Xinhua News Agency, Beijing, October 12 (Reporter Tan Guoqi) Li Peng, chairman of the Standing Committee of the National People&#39;s Congress, met today with a delegation from the International Lions Club led by President Jean Beyer of the International Lions Club and came to Beijing to participate in the &quot;World Ophthalmologists from 9 countries and regions with Vision Day.	meet
21	21	Contact:Meet	44	新华社济南１０月３日电（记者赵海波　张荣大）今天，中央领导 同志集体会见奥运健儿，江泽民总书记发表重要讲话，山东各界对 此反响热烈。	会见	8	9	Xinhua News Agency, Jinan, October 3 (Reporter Zhao Haibo and Zhang Rongda) Today, leading comrades of the central government met with Olympic athletes in a collective manner. General Secretary Jiang Zemin delivered an important speech, and all sectors of Shandong responded enthusiastically.	meet
22	22	Contact:Meet	44	在以巴流血冲突持续近两个月后，１００多名以色列和平倡导者２ ５日来到东耶路撒冷的巴勒斯坦办事处“东方大厦”，参加一场巴 勒斯坦和以色列人面对面的沟通会，为中东和平搭起一座心桥。	沟通会	9	10	After the Israeli-Palestinian bloody conflict lasted for nearly two months, more than 100 Israeli peace advocates came to the Palestinian Office &quot;Oriental Building&quot; in East Jerusalem on the 25th to participate in a face-to-face communication meeting between Palestinians and Israelis for peace in the Middle East. Build a heart bridge.	Communication meeting
23	23	Contact:Meet	44	会议结束时通过了四点声明，即要求以色列政府从在１９６７年战 争中占领的包括东耶路撒冷在内的土地上撤出；撤除定居点；以联 合国决议为基础解决巴难民问题；建立以东耶路撒冷为首都的巴勒 斯坦国，实现以巴持久和平。	会议	0	1	At the end of the meeting, a four-point statement was adopted, calling for the Israeli government to withdraw from the land, including East Jerusalem, occupied during the 1967 war; the removal of settlements; the resolution of the Palestinian refugees based on United Nations resolutions; and the establishment of East Jerusalem As the state of Palestine, it will achieve lasting peace between Israel and Palestine.	meeting
24	24	Contact:Meet	44	他来回奔跑近6000里地， 只为了一时冲动想要见她。	见	2	3	He ran back and forth nearly 6,000 miles, just to impulse to see her.	see
25	25	Contact:Meet	44	美国总统克林顿表示：他还没有决定是否访问北韩，克林顿是星期 五在白宫向记者说这番话的， 前一天美国国务卿奥尔布赖特刚刚 从平壤返回，奥尔布赖特此行是同北韩方面磋商克林顿可能进 行 的访问，克林顿表示尽管北韩领导人金正日保证他的国家将停止发 展导弹计划，但他仍然对这 个问题十分关切，星期一，金正日向 奥尔布赖特作了以上保证，两国的导弹专家下星期将在一个 尚未 透露的地点，继续就这个问题进行讨论。	讨论	29	30	US President Clinton said: He has not yet decided whether to visit North Korea. Clinton told reporters at the White House on Friday. The day before, US Secretary of State Albright just returned from Pyongyang. Albright&#39;s trip was with North Korea. During consultations on a possible Clinton visit, Clinton said that despite North Korean leader Kim Jong Il&#39;s assurances that his country will stop developing missile programs, he remains very concerned about this issue. On Monday, Kim Jong Il gave the above assurances to Albright Missile experts from both countries will continue discussions on the issue next week at an undisclosed location.	discuss
26	26	Contact:Meet	44	新华社拉各斯１１月３日电（记者叶兴增）尼日利亚总统奥巴桑乔 ３日在首都阿布贾与来访的利比里亚总统泰勒举行会谈，双方就科 特迪瓦和塞拉利昂目前局势、利比里亚和几内亚的边界冲突及地区 形势的最新发展交换了意见。	会谈	5	6	Xinhua News Agency, Lagos, November 3 (Reporter Ye Xingzeng) Nigerian President Obasanjo held talks with visiting Liberian President Taylor in the capital Abuja on the 3rd. The two sides discussed the current situation in Côte d&#39;Ivoire and Sierra Leone, the border conflict between Liberia and Guinea and The latest developments in the regional situation exchanged views.	talks
27	27	Contact:Meet	44	泰勒也表示，他愿意会见几内亚领导人，以便能有机会坐下来“面 对面地解决双方的争执”。	会见	2	3	Taylor also stated that he was willing to meet with Guinean leaders so that he could have the opportunity to sit down and &quot;settle the disputes face to face&quot;.	meet
28	28	Contact:Meet	44	虽然行政院停建核试的决策过程好奇，不过中研院长李永哲说他事 先是毫不知情，不过既然身为 是跨党派小组招集人，下午的会议 他们会进一步讨论国内下一步应该怎么走。	会议	8	9	Although the decision-making process of the Executive Yuan&#39;s decision to suspend construction of the nuclear test was curious, Li Yongzhe, president of the Chinese Academy of Research, said that he had no knowledge beforehand, but since he is a recruiter of a cross-party group, they will discuss further the next step in the country.	meeting
29	29	Contact:Meet	44	新华社北京１０月４日电北京、上海、河北、山西、福建、贵州等 省市天主教界今天分别召开座谈会，一致表示，坚决拥护我外交部 声明和国家宗教局发言人谈话，坚决支持中国天主教“一会一团” 的严正声明，对梵蒂冈借“封圣”之名歪曲和篡改历史，利用宗教 干涉中国内政的反华行径表示坚决抵制和反对。	座谈会	11	12	Xinhua News Agency, Beijing, October 4th. The Catholic communities in Beijing, Shanghai, Hebei, Shanxi, Fujian, and Guizhou held separate forums today and unanimously expressed their firm support for the statement of the Ministry of Foreign Affairs and the spokesperson of the State Religious Affairs Bureau and their firm support for China. The solemn statement of the Catholic Church &quot;One Meeting, One Mission&quot; expresses its firm resistance and opposition to the anti-China actions of the Vatican in the name of &quot;sanctification&quot; to distort and tamper with history and use religion to interfere in China&#39;s internal affairs.	forum
30	30	Contact:Meet	44	记者了解到，近日，全国各省区市的天主教界以及其他宗教团体陆 续举行座谈会，对梵蒂冈借“封圣”搞反华的行径进行声讨。	座谈会	5	6	The reporter learned that recently, the Catholic community and other religious groups in various provinces, autonomous regions, and municipalities across the country have held seminars to discuss the Vatican ’s anti-China behavior by using “sanctification”.	forum
31	31	Contact:Meet	44	新华社北京１０月３日电中国佛教协会、中国伊斯兰教协会和中国 道教协会今天分别举行座谈会，一致表示坚决拥护我外交部声明和 国家宗教局发言人谈话，严厉谴责梵蒂冈利用宗教问题干涉中国内 政的图谋，并对我国天主教会的爱国行动表示声援。	座谈会	3	4	Xinhua News Agency, Beijing, October 3rd. The Chinese Buddhist Association, the Chinese Islamic Association and the Chinese Taoist Association held separate symposiums today and unanimously expressed their firm support for the statement of the Ministry of Foreign Affairs and the spokesperson of the State Religious Affairs Bureau, and condemned the Vatican for using religion to interfere in China The conspiracy of the internal affairs and expressed solidarity with the patriotic actions of our Catholic Church.	forum
32	32	Contact:Meet	44	新华社雅加达１０月３日电 （记者麦棠源）印度尼西亚副总统梅 加瓦蒂今天中午接见了奥运代表团成员，祝贺运动员取得一枚金牌 、三枚银牌和两枚铜牌的成绩。	接见	5	6	Xinhua News Agency, Jakarta, October 3rd (Reporter Mai Tangyuan) Indonesian Vice President Megawati received members of the Olympic delegation at noon today and congratulated the athletes on their achievements of one gold medal, three silver medals and two bronze medals.	Interview
33	33	Contact:Meet	44	新华社阿尔及尔１０月２３日电（记者徐东华）埃塞俄比亚与厄立 特里亚代表２３日在这里举行谈判，以期达成一项全面、持久的和 平协定，	谈判	5	6	Xinhua News Agency, Algiers, October 23rd (Reporter Xu Donghua) Representatives of Ethiopia and Eritrea held talks here on the 23rd with a view to reaching a comprehensive and lasting peace agreement.	negotiation
34	34	Contact:Meet	44	这次谈判的目的是要为全面、持久解决两国边界纠纷达成协定，并 进一步巩固两国在４个月前签署的停火协议的成果，为最终实现两 国关系正常化铺平道路。	谈判	0	1	The purpose of this negotiation is to reach an agreement for a comprehensive and lasting settlement of the border disputes between the two countries, and further consolidate the results of the ceasefire agreement signed by the two countries four months ago, and pave the way for the normalization of relations between the two countries.	negotiation
35	35	Contact:Meet	44	参加谈判的有埃塞俄比亚外长梅斯芬、厄立特里亚外长阿卜杜拉、 联合国埃厄特派团负责人萨克塞纳、非洲统一组织负责政治事务的 副秘书长吉尼特以及美国和欧盟代表等。	谈判	0	1	Participating in the negotiations were Ethiopian Foreign Minister Mesfin, Eritrean Foreign Minister Abdullah, UN Head of UNMEE Saksena, Under-Secretary-General for Political Affairs of the Organization of African Unity, Mr. Ginette, and representatives of the United States and the European Union.	negotiation
36	36	Contact:Meet	44	新华社澳门１２月２０日电（记者杨国强、孙承斌）中共中央总书 记、国家主席、中央军委主席江泽民今天上午在澳门会见了出席澳 门回归祖国一周年庆祝活动的香港特别行政区行政长官董建华一行 。	会见	11	12	Xinhua News Agency, Macau, December 20 (Reporters Yang Guoqiang and Sun Chengbin) Jiang Zemin, General Secretary of the CPC Central Committee, State President and Chairman of the Central Military Commission, met with Hong Kong Special Administrative Region Chief Executive Tung Chee Hwa and his party attending the celebration of the first anniversary of Macau&#39;s return to the motherland.	meet
37	37	Contact:Meet	44	陪同江泽民会见的有：中共中央政治局委员、国务院副总理钱其琛 ，中央军委委员、中国人民解放军总政治部主任于永波，中共中央 办公厅主任王刚，国务院港澳事务办公室主任廖晖。	会见	0	1	Accompanied by Jiang Zemin were: Member of the Political Bureau of the CPC Central Committee, Vice Premier Qian Qichen, Yu Yongbo, member of the Central Military Commission and Director of the General Political Department of the Chinese People&#39;s Liberation Army, Wang Gang, Director of the General Office of the CPC Central Committee, and Liao Hui, Director of the Hong Kong and Macao Affairs Office of the State Council.	meet
38	38	Contact:Meet	44	香港特别行政区终审法院首席法官李国能、政务司司长陈方安生、 财政司司长曾荫权、行政会议召集人梁振英、立法会主席范徐丽泰 参加了会见。	会见	9	10	The Chief Justice of the Hong Kong Special Administrative Region Court of Final Appeal Li Guoneng, the Chief Secretary for Administration, Mrs Anson Chan, the Financial Secretary, Mr Tsang Yam-kuen, the convener of the Executive Council, Liang Zhenying, and the chairman of the Legislative Council Fan Xu Litai attended the meeting.	meet
39	39	Contact:Meet	44	会见时在座的还有澳门特别行政区行政长官何厚铧。	会见	0	1	Also present at the meeting was Ho Hau Wah, the Chief Executive of the Macau Special Administrative Region.	meet
40	40	Contact:Meet	44	这是记者在今天结束的全国七大流域（片）水功能区划报告专家座 谈会上了解到的。	"座
谈会"	4	6	This was learned by reporters at the expert seminar on water function zoning reports for the seven major river basins in China.	forum
41	41	Contact:Meet	44	英格兰足总将在１月份前往罗马与埃里克森和拉齐奥俱乐部进行商 谈，就埃里克森能否提前执教英格兰队的事情进行谈判。	"商
谈"	0	2	The English Football Association will travel to Rome in January to discuss with Erikson and Lazio clubs to negotiate whether Erikson can coach England in advance.	discuss
42	42	Contact:Meet	44	英格兰足总将在１月份前往罗马与埃里克森和拉齐奥俱乐部进行商 谈，就埃里克森能否提前执教英格兰队的事情进行谈判。	谈判	3	4	The English Football Association will travel to Rome in January to discuss with Erikson and Lazio clubs to negotiate whether Erikson can coach England in advance.	negotiation
43	43	Contact:Meet	44	执政的民进党主席谢长庭下午在与陈水扁总统会谈之后，也发表看 法认为：在野党执意罢免行动 恐怕对于民生社会是会产生负面效 果。	会谈	0	1	The ruling Democratic Progressive Party Chairman Xie Changting also expressed his opinion after meeting with President Chen Shui-bian in the afternoon that the opposition party ’s insistent removal may have a negative effect on people ’s livelihood.	talks
44	44	Conflict:Attack	74	阿卜杜拉和阿拉法特呼吁尽快成立由巴、以、美安全官员组成的三 方委员会，并在美国的主持下对几天来巴以流血冲突事件迅速进行 调查。	冲突	7	8	Abdullah and Arafat called for the establishment of a tripartite committee consisting of Palestinian, Israeli, and US security officials as soon as possible, and under the auspices of the United States, to quickly investigate the bloody conflict in Palestine and Israel over the past few days.	conflict
45	45	Conflict:Attack	74	两位领导人强烈谴责以色列军队对巴勒斯坦人民的挑衅行为和血腥 镇压，要求以色列军队迅速从它上月２９日以来占领的巴勒斯坦地 区撤离。	挑衅	0	1	The two leaders strongly condemned the Israeli army&#39;s provocative actions and bloody crackdowns on the Palestinian people, and demanded that the Israeli army quickly withdraw from the Palestinian area it has occupied since last month.	provocative
46	46	Conflict:Attack	74	两位领导人强烈谴责以色列军队对巴勒斯坦人民的挑衅行为和血腥 镇压，要求以色列军队迅速从它上月２９日以来占领的巴勒斯坦地 区撤离。	镇压	1	2	The two leaders strongly condemned the Israeli army&#39;s provocative actions and bloody crackdowns on the Palestinian people, and demanded that the Israeli army quickly withdraw from the Palestinian area it has occupied since last month.	Suppress
47	47	Conflict:Attack	74	事发当天，一个名为“萨拉丁旅”的新的巴勒斯坦武装组织声称对 上述事件负责。	事	0	1	On the day of the incident, a new Palestinian armed group called the Saladin Brigade claimed responsibility for the incident.	Thing
48	48	Conflict:Attack	74	一名巴勒斯坦人在加沙地带靠近一个以色列军队哨所的地方发动自 杀性爆炸攻击，把自己炸死， 伊斯兰胜战者组织表示对这次自杀 性袭击事故负责，并警告说这不是最后的一次，这名巴勒斯坦 人 骑着自行车接近以色列哨所，在保护墙墙边引爆炸弹，一名以色列 军人受轻伤，以色列军方指 责巴勒斯坦当局纵容这次袭击，巴勒 斯坦一位安全官员驳斥这种指责，当天是伊斯兰圣战者组织 领导 人西卡奇遇刺5周年，人们普遍都指责那次行刺是以色列部队干的 ，既将担任黎巴嫩总理的哈 利里组成了有将近30名成员的内阁 ，其中穆斯林和基督教徒人数相当，哈利里和拉夫德总统以及 贝 里议长开会之后宣布了这个名单，新内阁几乎比原政府的内阁大了 1倍，只包括了4名原来的内 阁成员，一些黎巴嫩政界人士指责 叙利亚干预部长的选举，给这个过程蒙上了阴影。	攻击	1	2	A Palestinian launches a suicide bomber near an Israeli army post in the Gaza Strip, killing himself. The Islamic Victorious Organization has claimed responsibility for the suicide attack and warned that this was not the last time. A Palestinian rides a bicycle near an Israeli post, detonates a bomb near a protective wall, an Israeli soldier is slightly injured, the Israeli military accuses the Palestinian authorities of condoning the attack, and a Palestinian security official refutes such accusations. The 5th anniversary of the assassination of the leader of the jihadist Sikazi. It is widely accused that the assassination was carried out by Israeli forces. Hariri, who will serve as prime minister of Lebanon, formed a cabinet of nearly 30 members, including Muslims and Christians. Quite, the list was announced after a meeting between President Hariri and President Love and Speaker Bailey. The new cabinet is almost twice the size of the original government&#39;s cabinet, including only four former cabinet members. Some Lebanese politicians have accused Syria of intervening. The election of ministers cast a shadow over this process.	attack
49	49	Conflict:Attack	74	一名巴勒斯坦人在加沙地带靠近一个以色列军队哨所的地方发动自 杀性爆炸攻击，把自己炸死， 伊斯兰胜战者组织表示对这次自杀 性袭击事故负责，并警告说这不是最后的一次，这名巴勒斯坦 人 骑着自行车接近以色列哨所，在保护墙墙边引爆炸弹，一名以色列 军人受轻伤，以色列军方指 责巴勒斯坦当局纵容这次袭击，巴勒 斯坦一位安全官员驳斥这种指责，当天是伊斯兰圣战者组织 领导 人西卡奇遇刺5周年，人们普遍都指责那次行刺是以色列部队干的 ，既将担任黎巴嫩总理的哈 利里组成了有将近30名成员的内阁 ，其中穆斯林和基督教徒人数相当，哈利里和拉夫德总统以及 贝 里议长开会之后宣布了这个名单，新内阁几乎比原政府的内阁大了 1倍，只包括了4名原来的内 阁成员，一些黎巴嫩政界人士指责 叙利亚干预部长的选举，给这个过程蒙上了阴影。	炸	3	4	A Palestinian launches a suicide bomber near an Israeli army post in the Gaza Strip, killing himself. The Islamic Victorious Organization has claimed responsibility for the suicide attack and warned that this was not the last time. A Palestinian rides a bicycle near an Israeli post, detonates a bomb near a protective wall, an Israeli soldier is slightly injured, the Israeli military accuses the Palestinian authorities of condoning the attack, and a Palestinian security official refutes such accusations. The 5th anniversary of the assassination of the leader of the jihadist Sikazi. It is widely accused that the assassination was carried out by Israeli forces. Hariri, who will serve as prime minister of Lebanon, formed a cabinet of nearly 30 members, including Muslims and Christians. Quite, the list was announced after a meeting between President Hariri and President Love and Speaker Bailey. The new cabinet is almost twice the size of the original government&#39;s cabinet, including only four former cabinet members. Some Lebanese politicians have accused Syria of intervening. The election of ministers cast a shadow over this process.	Fried
50	50	Conflict:Attack	74	一名巴勒斯坦人在加沙地带靠近一个以色列军队哨所的地方发动自 杀性爆炸攻击，把自己炸死， 伊斯兰胜战者组织表示对这次自杀 性袭击事故负责，并警告说这不是最后的一次，这名巴勒斯坦 人 骑着自行车接近以色列哨所，在保护墙墙边引爆炸弹，一名以色列 军人受轻伤，以色列军方指 责巴勒斯坦当局纵容这次袭击，巴勒 斯坦一位安全官员驳斥这种指责，当天是伊斯兰圣战者组织 领导 人西卡奇遇刺5周年，人们普遍都指责那次行刺是以色列部队干的 ，既将担任黎巴嫩总理的哈 利里组成了有将近30名成员的内阁 ，其中穆斯林和基督教徒人数相当，哈利里和拉夫德总统以及 贝 里议长开会之后宣布了这个名单，新内阁几乎比原政府的内阁大了 1倍，只包括了4名原来的内 阁成员，一些黎巴嫩政界人士指责 叙利亚干预部长的选举，给这个过程蒙上了阴影。	袭击	6	7	A Palestinian launches a suicide bomber near an Israeli army post in the Gaza Strip, killing himself. The Islamic Victorious Organization has claimed responsibility for the suicide attack and warned that this was not the last time. A Palestinian rides a bicycle near an Israeli post, detonates a bomb near a protective wall, an Israeli soldier is slightly injured, the Israeli military accuses the Palestinian authorities of condoning the attack, and a Palestinian security official refutes such accusations. The 5th anniversary of the assassination of the leader of the jihadist Sikazi. It is widely accused that the assassination was carried out by Israeli forces. Hariri, who will serve as prime minister of Lebanon, formed a cabinet of nearly 30 members, including Muslims and Christians. Quite, the list was announced after a meeting between President Hariri and President Love and Speaker Bailey. The new cabinet is almost twice the size of the original government&#39;s cabinet, including only four former cabinet members. Some Lebanese politicians have accused Syria of intervening. The election of ministers cast a shadow over this process.	Assault
